Reviews,Score,Sentiment
He was funny and really helpful. Really understood the first year struggle,5.0,positive
Carey has really opened my eyes to chemistry. Not only is he a great professor but he raised a wonderful son. The best thing about his lectures are the hilarious punny chem jokes he makes throughout lectures. Great guy.,5.0,positive
Lectures are clear. He always come to the tutorials before tests. give good feedback.,4.0,positive
"I learned a lot about the very roots of chemistry in this course. We were able to derive and understand lots of the basic equations that we were given in general chemistry. I loved this course. Dr. Bissonnette was very knowledgeable and approachable, though lectures were slow. Time given for quizzes, and the final was not enough for me.",4.0,positive
He goes by the lecture material too slow and he goes off track almost every class. The midterm and quizzes were a disaster in which he tries to make up for the low class average by adding additional assignments to boost your grade. Not enough time to finish exam and also expects you to derive almost everything even though it's a chemistry course.,2.0,negative
"Bissonnette is definitely very knowledgeable on the subject of chemistry. When he describes a concept, he goes into great depth about it, to the point where the relevancy becomes questionable - although, it is very interesting and helpful. He is a tad bit hard to follow at times, but he is undoubtedly a really good prof and chemist.",4.5,positive
"He speaks very choppily, sometimes hard to follow and listen to for long lectures.",2.5,negative
he is the boringest prof i have ever had,1.0,negative
"He's really boring. Very slow too, talks about like 3 pages per lecture. Then rushes at the end where the tested material is located. Not the greatest in organization",1.5,negative
"He puts lecture videos online and give bonus questions on tests. I think he is not a born lecturer, but I think he has done everything he could to be a great prof.",5.0,positive
"Cares about you, speak to him for guidance...",5.0,positive
"He's a good prof. he explains things slowly and clearly so that you really get it. Sure, he goes slow through the material, but this isnt always a bad thing. Chem 120123 are not hard courses, but I highly recommend keeping up with material and doing textbook questions regularly. believe me, dont screw yourself over. chem is just practise.",3.5,neutral
"The podcasts are a little underwhelming - he doesn't quite explain the material that well. He does NOT respond to emails and can be quite unhelpful during office hours. I would recommend taking the campus version (CHEM 212) in the winter instead. The assignments are fair, but he takes forever to mark them - I actually still don't know what I got.",1.5,negative
Doesn't always seem overly interested,4.5,positive
"works through the course notes at a very very slow pace... he can go on about one small subject for over 20 minutes easily. it's way too easy to fall asleep in his class, but he seems like a nice guy. hated the clicker requirement in lectures, but he posted lecture videos. he is also open to answering questions after lectures.",3.5,neutral
"goes over what you need to know, however he teaches slowly and screws you for the lab. overall a pretty good professor",4.5,positive
"Bissonnette is a fatherly figure who will make sure you understand everything before moving on. While it's true that he goes very slowly (hence screwing you for 123L), he's the best first-year Chem prof you could get. He's entertaining, knows his stuff, and will give you very helpful midterm/exam hints. Focus on the concepts and you'll do well.",5.0,positive
"He goes slow, which is good for the most part but sometimes it can drive you crazy. He does explain things quite well and of course there is the bonus fact that he puts his lectures online. He's a pretty great prof...chose to have an 8:30 classes two terms in a row because he was teaching at that time. Can be entertaining at times also.",4.0,positive
"Very slow and clear, kinda boring",3.5,neutral
Great professor. He is always willing to give students help and he is very approachable.,4.5,positive
Please stop inflicting this man on the students.,1.0,negative
"by far the worst prof i've had in all of my undergrad and graduate career. he doesn't care about students, he doesn't care about teaching. he cares about showing how smart he is. instead of explaining material clearly, he will give you the most convoluted content to figure out on your own. and he will call you out for your mistakes publicly.",1.0,negative
"Thought you retired, but you are like the energizer bunny, I shall wait to see the battery run out. OK lets Try 1V instead of 3.3V. Surprising You can function with 0V too.",1.0,negative
Terrible professor,1.0,negative
"One of the few courses I finished and actually felt like I learned something useful. Barby has some issues in his methods (flies through notes yet somehow has time for four lectures of ""Q/A""), and you'll hate him during the term. That is, until you realize he cares more about making us good engineers than passing us with high grades.",5.0,positive
"Puts all other professors i considered bad to shame. Will not hesitate to fail an entire class and will do absolutely nothing to prepare you for the exam. If you manage to pass, be ready to move on from his course having gained zero useful knowledge other than how to deal with incredible stress.",1.0,negative
Pretty bad,1.0,negative
"One of the best professors. He will motivate you to study. He knows the material really well. It was hard to follow his lectures but he gives you a lot of practice problems. This course will prepare you well for future circuit courses. Make sure to do all the assignments, attend tutorials and ask him for help during office hours.",5.0,positive
"One of the best professors I have ever had. At first glance he may seem rough and rude. But it took me a co-op term after the course to understand the worth of what he teaches and why he goes hard on the students. His grading scheme may seem gargantuan but irl, it lets you get 90s easily. Real gem, knows how to make his students good at EE design.",5.0,positive
